<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20191220;110000;252.7100000;253.9200000;252.2200000;252.6600000;6462210
GAZP;60;20191220;120000;252.7100000;253.1800000;252.3200000;252.6100000;3125090
GAZP;60;20191220;130000;252.6300000;254.3300000;252.4800000;253.4000000;5298710
GAZP;60;20191220;140000;253.4000000;254.2200000;253.0300000;253.5500000;3584300
GAZP;60;20191220;150000;253.5100000;254.0900000;253.3500000;253.5600000;1810190
GAZP;60;20191220;160000;253.5600000;255.2900000;253.5000000;254.7700000;7064040
GAZP;60;20191220;170000;254.7700000;256.5800000;254.7000000;255.3700000;8916500
GAZP;60;20191220;180000;255.3700000;256.4900000;255.2200000;255.9800000;5123910
GAZP;60;20191220;190000;255.9800000;256.0900000;255.3300000;255.5000000;18728440
