Date, Close/Last, Volume, Open, High, Low
12/11/2019, $151.7, 18860000, $151.54, $151.87, $150.33
12/10/2019, $151.13, 16481060, $151.29, $151.89, $150.765
12/09/2019, $151.36, 16741350, $151.07, $152.21, $150.91
12/06/2019, $151.75, 16410400, $150.99, $151.87, $150.27
12/05/2019, $149.93, 17880600, $150.05, $150.32, $149.48
12/04/2019, $149.85, 17580620, $150.14, $150.1799, $149.2
12/03/2019, $149.31, 25192150, $147.49, $149.43, $146.65
12/02/2019, $149.55, 27473620, $151.81, $151.83, $148.32
11/29/2019, $151.38, 11977300, $152.1, $152.3, $151.28
11/27/2019, $152.32, 15201290, $152.33, $152.5, $151.52
11/26/2019, $152.03, 24635100, $151.36, $152.42, $151.32
11/25/2019, $151.23, 22428590, $150, $151.35, $149.92
11/22/2019, $149.59, 15841680, $150.07, $150.3, $148.82
11/21/2019, $149.48, 18576080, $149.4, $149.8, $148.501
11/20/2019, $149.62, 25720060, $150.31, $150.84, $148.46
11/19/2019, $150.39, 23960160, $150.88, $151.33, $150.195
11/18/2019, $150.34, 21554760, $150.07, $150.55, $148.98
11/15/2019, $149.97, 23508810, $148.93, $149.99, $148.27
11/14/2019, $148.06, 19755100, $147.02, $148.41, $147
11/13/2019, $147.31, 17444230, $146.74, $147.4625, $146.28
11/12/2019, $147.07, 18648710, $146.28, $147.57, $146.06
