Date,Close,Adj Close,Volume
1/1/2010,28.18,22.180464,1359650900
2/1/2010,28.67,22.566137,1074643300
3/1/2010,29.290001,23.161951,1110237200
4/1/2010,30.540001,24.150423,1319029500
5/1/2010,25.799999,20.40213,1720130200
6/1/2010,23.01,18.277956,1671811600
7/1/2010,25.809999,20.502129,1408590600
8/1/2010,23.469999,18.643351,1279372100
9/1/2010,24.49,19.557364,1273139500
10/1/2010,26.67,21.298275,1281432800
11/1/2010,25.26,20.172279,1361176300
12/1/2010,27.91,22.425476,1033710000
1/1/2011,27.73,22.280842,1361258700
2/1/2011,26.58,21.356827,1114368500
3/1/2011,25.389999,20.521252,1310885200
4/1/2011,25.92,20.949627,1313844800
5/1/2011,25.01,20.214121,1364062800
6/1/2011,26,21.152029,1297757600
7/1/2011,27.4,22.290976,1259328200
8/1/2011,26.6,21.64015,1719339500
9/1/2011,24.889999,20.376801,1279920200
10/1/2011,26.629999,21.801298,1218142500
11/1/2011,25.58,20.941681,1046207400
12/1/2011,25.959999,21.412815,1007166600
1/1/2012,29.530001,24.357492,1354858100
2/1/2012,31.74,26.180387,984332300
3/1/2012,32.259998,26.784479,942366500
4/1/2012,32.02,26.585217,940739700
5/1/2012,29.190001,24.235556,1014372600
6/1/2012,30.59,25.564577,973131400
7/1/2012,29.469999,24.62858,846604100
8/1/2012,30.82,25.7568,671748400
9/1/2012,29.76,25.035702,893107700
10/1/2012,28.540001,24.009365,1105402300
11/1/2012,26.620001,22.394163,1310516100
12/1/2012,26.709999,22.654514,947310900
1/1/2013,27.450001,23.282162,1145054400
2/1/2013,27.799999,23.57902,780587000
3/1/2013,28.610001,24.466942,844946000
4/1/2013,33.099998,28.306734,1465757200
5/1/2013,34.900002,29.846075,1071860000
6/1/2013,34.540001,29.745335,945155500
7/1/2013,31.84,27.420134,1111130600
8/1/2013,33.400002,28.763582,1051265000
9/1/2013,33.279999,28.862198,1242961500
10/1/2013,35.41,30.709454,965331500
11/1/2013,38.130001,33.06839,800431600
12/1/2013,37.41,32.690006,826617700
1/1/2014,37.84,33.065754,930226200
2/1/2014,38.310001,33.476463,705304500
3/1/2014,40.990002,36.086914,778425700
4/1/2014,40.400002,35.56749,746112500
5/1/2014,40.939999,36.0429,574362900
6/1/2014,41.700001,36.970985,555767300
7/1/2014,43.16,38.265415,731616500
8/1/2014,45.43,40.277969,513919700
9/1/2014,46.360001,41.359222,860827300
10/1/2014,46.950001,41.885574,853260900
11/1/2014,47.810001,42.652817,523005900
12/1/2014,46.450001,41.700874,626771200
